CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,PHOTO_URL
1112,11,GUANAJUATO,12,CELAYA,162324,180659,0,342983,4708,María Magdalena Rosales Cruz,PVEM,#785E4B,1112__MARÍA_MAGDALENA_ROSALES_CRUZ__SIGAMOS_HACIENDO_HISTORIA.jpg
1113,11,GUANAJUATO,13,VALLE DE SANTIAGO,169289,187971,0,357260,4709,Lucero Higareda Segura,MORENA,#DEB6AD,1113__LUCERO_HIGAREDA_SEGURA__SIGAMOS_HACIENDO_HISTORIA.png
1114,11,GUANAJUATO,14,ACAMBARO,154576,168544,0,323120,4710,Juana Acosta Trujillo,PVEM,#DEB6AD,1114__JUANA_ACOSTA_TRUJILLO__SIGAMOS_HACIENDO_HISTORIA.jpg
1115,11,GUANAJUATO,15,IRAPUATO,145640,160457,0,306097,3131,José Javier Aguirre Gallardo,PT,#B29679,1115__JOSE_JAVIER_AGUIRRE_GALLARDO__SIGAMOS_HACIENDO_HISTORIA.png
1201,12,GUERRERO,1,PUNGARABATO,174518,186722,0,361240,4734,Celeste Mora Eguiluz,MORENA,#917153,1201__CELESTE_MORA_EGUILUZ__SIGAMOS_HACIENDO_HISTORIA.png
1202,12,GUERRERO,2,ACAPULCO DE JUAREZ,136511,152201,0,288712,4735,Yoloczin Lizbeth Domínguez Serna,PT,#DEB6AD,1202__YOLOCZIN_LIZBETH_DOMINGUEZ_SERNA__SIGAMOS_HACIENDO_HISTORIA.png
1203,12,GUERRERO,3,ZIHUATANEJO DE AZUETA,159481,167781,0,327262,4736,Ma. Del Carmen Cabrera Lagunas,PVEM,#B29679,1203__MA._DEL_CARMEN_CABRERA_LAGUNAS__SIGAMOS_HACIENDO_HISTORIA.png
1204,12,GUERRERO,4,ACAPULCO DE JUAREZ,145605,167341,0,312946,4737,Javier Taja Ramírez,MORENA,#B29679,1204__JAVIER_TAJA_RAMIREZ__SIGAMOS_HACIENDO_HISTORIA.png
1205,12,GUERRERO,5,TLAPA DE COMONFORT,147240,172932,0,320172,4738,Gerardo Olivares Mejía,PVEM,#DEB6AD,1205__GERARDO_OLIVARES_MEJIA__SIGAMOS_HACIENDO_HISTORIA.png
1206,12,GUERRERO,6,CHILAPA DE ALVAREZ,165451,187803,0,353254,6742,María Del Carmen Nava García,MORENA,#DEB6AD,1206__MARÍA_DEL_CARMEN_NAVA_GARCÍA__SIGAMOS_HACIENDO_HISTORIA.jpg
1207,12,GUERRERO,7,CHILPANCINGO DE LOS BRAVO,155012,178182,0,333194,919,Carlos Sánchez Barrios,PVEM,#917153,1207__CARLOS_SÁNCHEZ_BARRIOS__SIGAMOS_HACIENDO_HISTORIA.jpg
1208,12,GUERRERO,8,OMETEPEC,167295,182773,0,350068,4739,Marco Antonio De La Mora Torreblanca,MORENA,#917153,1208__MARCO_ANTONIO_DE_LA_MORA_TORREBLANCA__SIGAMOS_HACIENDO_HISTORIA.png
1301,13,HIDALGO,1,HUEJUTLA DE REYES,160290,177675,0,337965,4746,Daniel Andrade Zurutuza,MORENA,#917153,1301__DANIEL_ANDRADE_ZURUTUZA__MORENA.png
1302,13,HIDALGO,2,IXMIQUILPAN,171024,191179,0,362203,968,Ciria Yamile Salomón Durán,MORENA,#917153,1302__CIRIA_YAMILE_SALOMON_DURAN__SIGAMOS_HACIENDO_HISTORIA.png
1303,13,HIDALGO,3,ACTOPAN,155675,177775,0,333450,4747,Tatiana Tonantzin P. Angeles Moreno,MORENA, ,
1304,13,HIDALGO,4,TULANCINGO DE BRAVO,151289,176215,0,327504,4748,Alma Lidia De La Vega Sánchez,MORENA,#917153,1304__ALMA_LIDIA_DE_LA_VEGA_SANCHEZ__MORENA.png
1305,13,HIDALGO,5,TULA DE ALLENDE,171536,186964,0,358500,4749,Astrit Viridiana Cornejo Gómez,MORENA,#DEB6AD,1305__ASTRIT_VIRIDIANA_CORNEJO_GÓMEZ__Morena.jpg
1306,13,HIDALGO,6,PACHUCA DE SOTO,160592,183197,1,343790,4750,Ricardo Crespo Arroyo,MORENA,#DEB6AD,1306__RICARDO_CRESPO_ARROYO__Morena.jpg
1307,13,HIDALGO,7,TEPEAPULCO,155072,168908,0,323980,4751,Mirna María De La Luz Rubio Sánchez,MORENA, ,
1401,14,JALISCO,1,TEQUILA,163263,170842,0,334105,4811,Francisco Javier Guizar Macias,PT,#B29679,1401__FRANCISCO_JAVIER_GUIZAR_MACIAS__SIGAMOS_HACIENDO_HISTORIA.png
1402,14,JALISCO,2,LAGOS DE MORENO,152002,164156,2,316160,4799,Tecutli José Guadalupe Gómez Villalobos,MC,#917153,1402__TECUTLI_JOSÉ_GUADALUPE_GÓMEZ_VILLALOBOS__MC.jpg
1403,14,JALISCO,3,TEPATITLAN DE MORELOS,173426,181369,0,354795,4783,José Mario Iñiguez Franco,PAN,#B29679,1403__JOSÉ_MARIO_IÑIGUEZ_FRANCO__FUERZA_Y_CORAZÓN_POR_MÉXICO.jpg
1404,14,JALISCO,4,ZAPOPAN,173136,184885,4,358025,4820,Raúl Álvarez Villaseñor,MORENA,#DEB6AD,1404__RAÚL_ÁLVAREZ_VILLASEÑOR__SIGAMOS_HACIENDO_HISTORIA.jpg
1405,14,JALISCO,5,PUERTO VALLARTA,166849,164177,2,331028,1086,Bruno Blancas Mercado,MORENA,#DEB6AD,1405__BRUNO_BLANCAS_MERCADO__Morena.jpg
1406,14,JALISCO,6,ZAPOPAN,152586,160571,0,313157,4821,Beatriz Carranza Gómez,MORENA,#B29679,1406__BEATRIZ_CARRANZA_GOMEZ__SIGAMOS_HACIENDO_HISTORIA.png
